keyword,volume,cpc,competition,relevance,source,priority
car shipping companies,27100,7.98,0.29,0.5,semrush_related,high
classic car,18100,0.15,0.81,3.31,competitor:montway.com,high
montway auto transport,18100,5.19,0.7,3.31,competitor:montway.com,high
auto transport companies,12100,7.94,0.36,0.4,semrush_related,high
car shipping quotes,9900,7.74,0.46,0.35,semrush_related,high
car transport services,8100,7.05,0.66,0.55,semrush_related,high
vehicle transport services,8100,7.05,0.66,0.45,semrush_related,high
car delivery service,6600,4.9,0.8,0.45,semrush_related,high
services car transport,6600,7.05,0.66,0.6,semrush_related,high
shipping company,6600,6.17,0.51,1.2,competitor:montway.com,high
sherpa auto transport,6600,9.39,0.69,1.2,competitor:montway.com,high
auto shipping,5400,8.33,0.63,0.3,semrush_related,high
montway auto transport reviews,5400,7.84,0.45,0.98,competitor:montway.com,high
vehicle shipping quote,5400,7.74,0.46,0.98,competitor:montway.com,high
car transport quote,4400,8.38,0.63,0.8,competitor:montway.com,high
mercury auto transport,4400,3.19,0.77,0.8,competitor:montway.com,high
ship my car,4400,7.63,0.86,0.8,competitor:montway.com,high
best car shipping company,4400,7.96,0.49,0.8,competitor:montway.com,high
auto transport vehicles,4400,7.09,0.64,0.8,competitor:montway.com,high
vehicle shipping companies,4400,7.94,0.36,8.92,competitor:a1autotransport.com,high
car transportation services,3600,7.05,0.66,0.65,competitor:montway.com,high
car transportation,3600,7.09,0.64,0.65,competitor:montway.com,high
car shipping service,3600,8.09,0.45,0.65,competitor:montway.com,high
auto transport quotes,3600,8.38,0.63,0.65,competitor:montway.com,high
ship cars,3600,7.58,0.64,0.65,competitor:montway.com,high
ship car to another state,3600,5.89,0.87,3.91,competitor:a1autotransport.com,high
auto shipping companies,3600,7.98,0.29,3.91,competitor:a1autotransport.com,high
car shipping cost calculator,2900,2.66,0.59,0.52,competitor:montway.com,high
cheap car shipping,2400,7.53,0.78,3.28,competitor:a1autotransport.com,high
vehicle shipping estimate,2400,4.52,0.79,3.28,competitor:a1autotransport.com,high
a1 auto transport,1900,4.16,0.72,13.92,competitor:a1autotransport.com,high
car shipping costs,1900,4.52,0.79,13.92,competitor:a1autotransport.com,high
car shipping calculator,1900,3.15,0.13,13.92,competitor:a1autotransport.com,high
ship vehicle,1900,7.27,0.67,3.75,competitor:a1autotransport.com,high
cross country car shipping,8100,6.95,0.43,0.2,semrush_related,medium
nexus auto transport,8100,6.12,0.71,0.1,semrush_related,medium
car transport agencies,6600,7.94,0.36,0.25,semrush_related,medium
car delivery,5400,5.37,0.71,0.1,semrush_related,medium
best car shipping companies,5400,7.96,0.49,0.15,semrush_related,medium
affordable car shipping,720,9.33,0.55,0.78,competitor:a1autotransport.com,medium
military vehicle shipping,480,6.69,0.77,0.93,competitor:a1autotransport.com,medium
auto transporter companies,480,7.94,0.36,0.46,competitor:a1autotransport.com,medium
vehicle transport by train,390,2.19,0.5,0.46,competitor:a1autotransport.com,medium
ship car by train,390,2.18,0.75,0.46,competitor:a1autotransport.com,medium
how much does it cost to ship your car,320,3.45,0.75,0.31,competitor:a1autotransport.com,medium
get car shipped to another state,260,5.89,0.87,1.87,competitor:a1autotransport.com,medium
ship your car to another state,260,5.98,0.67,0.15,competitor:a1autotransport.com,medium
how to ship a car from state to state,260,5.04,0.85,0.15,competitor:a1autotransport.com,medium
shipping a vehicle cost,260,4.24,0.76,0.15,competitor:a1autotransport.com,medium
auto transport fort lauderdale,210,7.24,0.93,0.1,semrush_related,medium
